Main_Site_ID,Hospital_Type,Number_of_Program_Sites,Number_of_DSC_Certifications,Number_of_NonDSC_Certifications,System_Affiliation,Volume_Program,Accreditation_Decision,Volume_Year,Opdate_In_eapp,Org_Volume_Category,Setting,Volume_Name,Average_Daily_Census,Visits,Beds
532680, General,7,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Inpatient",General Medical/Surgical Hospital,General,83,30295,90
532680, General,7,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,15,5475,20
532680, General,7,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, Emergency Room",0,40124,0
532680, General,7,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, General",0,615062,0
18633, Surgical,2,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2015,Y,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, Emergency Room",0,30735,0
18633, Surgical,2,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2015,Y,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, General",0,133889,0
18633, Surgical,2,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2015,N,"Volumes, Hospital, Inpatient",Specialty Surgery Hospital,Surgical,65,23725,92
210471, Surgical,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, Emergency Room",0,743,0
210471, Surgical,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, General",0,1373,0
210471, Surgical,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Inpatient",Specialty Surgery Hospital,Surgical,3,1095,28
210511, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,129,47085,134
