Main_Site_ID,Site_ID,Main_Site_Flag,Miles_from_Main_Site
532680,334422,N,77
532680,388316,N,12.2
532680,528347,N,25
532680,528348,N,9.5
532680,528350,N,23
532680,532680,Y,0
532680,552902,N,105
18633,18633,Y,0
18633,228314,N,0.3
210471,210471,Y,0
210511,210511,Y,0
409776,409776,Y,0
409776,522475,N,49
17536,17536,Y,0
17560,17560,Y,0
17580,17580,Y,0
331093,331093,Y,0
210550,210550,Y,0
507678,507678,Y,0
210557,210557,Y,0
210558,210558,Y,0
543136,543136,Y,0
421484,421484,Y,0
573291,573291,Y,0
523589,523589,Y,0
210616,210616,Y,0
210618,210618,Y,0
21803,21803,Y,0
210628,210628,Y,0
210631,210631,Y,0
210634,210634,Y,0
210643,210643,Y,0
210652,210652,Y,0
210654,210654,Y,0
148744,148744,Y,0
210661,210661,Y,0
497170,497170,Y,0
497170,497171,N,1.5
347227,347227,Y,0
210691,210691,Y,0
485522,485522,Y,0
17967,17967,Y,0
210701,210701,Y,0
210708,210708,Y,0
527036,487561,N,2
527036,527036,Y,0
17995,17995,Y,0
210722,210722,Y,0
521352,521352,Y,0
210739,24400,N,1
210739,24403,N,3
210739,107899,N,1
210739,183673,N,0.1
210739,210739,Y,0
210739,390979,N,1
210739,397829,N,1
210739,420970,N,1
210739,466811,N,14
210739,512534,N,1
210739,521885,N,1
210739,533063,N,37.7
210739,533065,N,2.8
210739,533246,N,12.5
210739,533272,N,37.7
210739,533275,N,7.5
210739,533276,N,0.7
210739,564788,N,0.1
210739,570523,N,15
210739,570645,N,15
210739,579509,N,8
210739,590819,N,0.1
210739,592871,N,4.9
210739,613164,N,0.1
210739,613165,N,4
210739,617222,N,3
210741,210741,Y,0
210751,210751,Y,0
355602,355602,Y,0
200777,200777,Y,0
428945,428945,Y,0
210783,210783,Y,0
210787,210787,Y,0
508466,508466,Y,0
210801,210801,Y,0
18287,18287,Y,0
531739,531739,Y,0
371009,371009,Y,0
18861,18861,Y,0
210838,210838,Y,0
577326,577326,Y,0
587071,587071,Y,0
587071,587074,N,0.1
587071,587076,N,0.1
587071,587078,N,0.1
587071,587080,N,0.1
587071,587081,N,0.1
587071,587082,N,0.1
210891,210891,Y,0
19741,19741,Y,0
210892,210892,Y,0
210893,210893,Y,0
210905,210905,Y,0
210915,210915,Y,0
210916,210916,Y,0
210916,483141,N,1.2
560878,560878,Y,0
25320,25320,Y,0
210943,210943,Y,0
501286,501286,Y,0
18726,18726,Y,0
384954,384954,Y,0
210959,210959,Y,0
210966,210966,Y,0
210967,210967,Y,0
16962,16962,Y,0
16964,16964,Y,0
521361,521361,Y,0
210977,104911,N,3
210977,210977,Y,0
210977,239579,N,25
100472,100472,Y,0
394188,394188,Y,0
210999,210999,Y,0
211022,211022,Y,0
211023,211023,Y,0
211027,211027,Y,0
211030,211030,Y,0
211045,211045,Y,0
211053,211053,Y,0
17163,17163,Y,0
211057,211057,Y,0
211058,211058,Y,0
608129,608129,Y,0
17213,471327,N,0.4
211079,211079,Y,0
211086,211086,Y,0
211096,211096,Y,0
17278,17278,Y,0
17278,263878,N,2
17278,415940,N,65
17278,459854,N,3
17278,516343,N,60
211105,211105,Y,0
211111,211111,Y,0
211114,211114,Y,0
403653,403653,Y,0
17335,17335,Y,0
211130,211130,Y,0
211138,211138,Y,0
211141,211141,Y,0
211154,211154,Y,0
525371,525371,Y,0
211162,211162,Y,0
211162,569321,N,0.1
166152,166152,Y,0
572457,572457,Y,0
17471,17471,Y,0
211181,211181,Y,0
211185,211185,Y,0
211186,211186,Y,0
211188,211188,Y,0
211189,211189,Y,0
591998,180871,N,1
591998,180873,N,35
591998,211192,N,0.1
591998,240112,N,20
591998,547355,N,1
591998,591998,Y,0
591998,608272,N,0.1
211211,211211,Y,0
211214,211214,Y,0
211225,211225,Y,0
211225,595725,N,2
17849,17849,Y,0
17451,17451,Y,0
211231,211231,Y,0
211234,211234,Y,0
211234,508248,N,20
211235,211235,Y,0
211236,211236,Y,0
211238,211238,Y,0
211240,211240,Y,0
555326,555326,Y,0
18141,18141,Y,0
211248,211248,Y,0
211253,211253,Y,0
211254,211254,Y,0
211255,211255,Y,0
19886,19886,Y,0
19886,167088,N,53
19886,482503,N,40
211259,211259,Y,0
20126,20126,Y,0
211263,151679,N,40
211263,211263,Y,0
211263,225949,N,24
211263,380391,N,19
211263,525525,N,73
211263,525527,N,72
211263,590882,N,73.9
211263,602080,N,74.3
20354,20354,Y,0
211265,211265,Y,0
211271,211271,Y,0
211272,211272,Y,0
211279,211279,Y,0
211280,211280,Y,0
211280,570739,N,0.5
211281,211281,Y,0
211285,211285,Y,0
211291,211291,Y,0
17679,17679,Y,0
17679,251359,N,153
20591,20591,Y,0
211299,211299,Y,0
521374,20519,N,8
521374,64551,N,20
521374,192661,N,20
521374,328520,N,16
521374,375433,N,16
521374,521374,Y,0
521374,557631,N,8
17613,17613,Y,0
211310,211310,Y,0
211312,211312,Y,0
211313,211313,Y,0
431160,431160,Y,0
211315,211315,Y,0
211316,211316,Y,0
211317,211317,Y,0
211318,211318,Y,0
211319,211319,Y,0
211320,20646,N,12
211320,211320,Y,0
211321,211321,Y,0
211322,211322,Y,0
211323,211323,Y,0
211324,211324,Y,0
27659,27659,Y,0
211326,211326,Y,0
211327,211327,Y,0
211330,211330,Y,0
211331,211331,Y,0
211334,211334,Y,0
211335,211335,Y,0
533143,533143,Y,0
570806,570806,Y,0
211343,211343,Y,0
211346,211346,Y,0
556543,556543,Y,0
204580,204580,Y,0
609985,609985,Y,0
414472,414472,Y,0
211393,211393,Y,0
211394,211394,Y,0
235877,235877,Y,0
211411,211411,Y,0
211415,211415,Y,0
211415,474057,N,58
211415,515504,N,73
211415,519470,N,86
211416,211416,Y,0
211416,352266,N,34
211416,352267,N,44
211416,593400,N,48.4
211419,211419,Y,0
18715,18715,Y,0
18715,474530,N,10
18715,528981,N,6
18715,533580,N,3
18715,598494,N,4
211435,211435,Y,0
521378,521378,Y,0
211441,211441,Y,0
23405,23405,Y,0
211446,211446,Y,0
24808,24808,Y,0
211451,211451,Y,0
211453,211453,Y,0
211469,211469,Y,0
521379,521379,Y,0
521379,579472,N,5
521379,579473,N,23.2
521379,587212,N,23.1
521379,590211,N,19.1
521379,611485,N,25.5
211471,211471,Y,0
427440,427440,Y,0
211478,19384,N,75
211478,211478,Y,0
211478,303417,N,68
211478,303418,N,110
211478,379350,N,60
211480,211480,Y,0
211480,586252,N,18
211485,211485,Y,0
211508,211508,Y,0
17914,17914,Y,0
211512,211512,Y,0
211525,211525,Y,0
211543,211543,Y,0
211543,450602,N,0.1
211544,211544,Y,0
211546,211546,Y,0
211546,236345,N,0.2
211546,236346,N,5
18679,18679,Y,0
211580,211580,Y,0
19361,19361,Y,0
19361,102317,N,30
211584,211584,Y,0
211597,211597,Y,0
211603,211603,Y,0
211603,362787,N,28
396119,396119,Y,0
211607,211607,Y,0
33196,33196,Y,0
211613,211613,Y,0
211613,408348,N,35
143006,143006,Y,0
143006,375266,N,5
143006,375267,N,0.3
143006,484062,N,2
143006,532402,N,0.1
211625,211625,Y,0
211625,395617,N,0.3
211625,433223,N,0.3
211625,445483,N,2
211625,478069,N,0.1
211625,580681,N,0.1
211625,580682,N,0.1
26710,26710,Y,0
20781,20781,Y,0
20781,395960,N,1.5
20781,450566,N,0.1
20781,450567,N,0.2
20781,450570,N,1
20781,450573,N,1
20781,483739,N,11
211627,211627,Y,0
211627,471582,N,18
