Main_Site_ID,Program,Program_Code,Hospital_Type,Survey_Event_Type,Survey_Begin_Date,Survey_End_Date,Survey_Decision,System_Affiliation,Count_NonCompliant_Standards,Count_NonCompliant_EPs,Total_Surveyor_Days,Number_of_Surveyors,Number_of_Surveyor_Class_Types,Survey_Event_ID,Survey_Event_Program_ID
532680,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,12/13/16,12/16/16,Pending                                                                                                                                                                                                                                                        ,1,14,16,15,5,5,40836859,40836858
18633,Hospital Accreditation Program,HAP     , Surgical,Unannounced Full Event                  ,6/14/16,6/16/16,Pending                                                                                                                                                                                                                                                        ,0,23,28,11,4,5,40147917,40147916
210471,Hospital Accreditation Program,HAP     , Surgical,Unannounced Full Event                  ,5/11/15,5/12/15,Pending                                                                                                                                                                                                                                                        ,1,6,6,4,2,2,39492010,39492009
210471,Hospital Accreditation Program,HAP     , Surgical,Unannounced Full Event                  ,10/23/17,10/25/17,Pending                                                                                                                                                                                                                                                        ,1,19,28,5,2,2,41698674,41698673
17536,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,6/14/16,6/16/16,Pending                                                                                                                                                                                                                                                        ,1,12,15,7,3,3,40296218,40296217
17560,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,5/10/16,5/13/16,Pending                                                                                                                                                                                                                                                        ,1,12,18,11,4,4,40230015,40230014
17580,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,8/10/15,8/13/15,Pending                                                                                                                                                                                                                                                        ,1,16,18,9,3,4,39521696,39521695
331093,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,2/1/16,2/3/16,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,27,28,7,3,3,39977187,39977186
210550,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,6/26/17,6/28/17,Pending                                                                                                                                                                                                                                                        ,0,20,27,10,5,4,41220035,41220034
210557,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,3/17/15,3/19/15,Pending                                                                                                                                                                                                                                                        ,0,27,36,8,3,3,39304508,39304507
